Tue Dec 13 14:21:57 2022 Epoch 59, lr: 0.0000813, val loss: 95.61244, acc: 67.23000
Tue Dec 13 14:22:13 2022 Epoch 69, lr: 0.0000748, val loss: 70.62089, acc: 77.04000
Tue Dec 13 14:22:18 2022 Epoch 60, lr: 0.0000806, val loss: 92.92898, acc: 68.25000
Tue Dec 13 14:22:31 2022 Epoch 70, lr: 0.0000741, val loss: 70.72408, acc: 76.68000
Tue Dec 13 14:22:41 2022 Epoch 61, lr: 0.0000800, val loss: 92.48202, acc: 68.40000
Tue Dec 13 14:22:51 2022 Epoch 71, lr: 0.0000734, val loss: 70.19675, acc: 76.98000
Tue Dec 13 14:23:03 2022 Epoch 62, lr: 0.0000794, val loss: 91.78527, acc: 68.51000
Tue Dec 13 14:23:11 2022 Epoch 72, lr: 0.0000727, val loss: 70.39226, acc: 77.34000
Tue Dec 13 14:23:25 2022 Epoch 63, lr: 0.0000788, val loss: 91.61427, acc: 68.91000
Tue Dec 13 14:23:31 2022 Epoch 73, lr: 0.0000720, val loss: 71.52106, acc: 76.90000
Tue Dec 13 14:23:47 2022 Epoch 64, lr: 0.0000781, val loss: 92.47037, acc: 68.25000
Tue Dec 13 14:23:50 2022 Epoch 74, lr: 0.0000713, val loss: 71.19536, acc: 76.91000
Tue Dec 13 14:24:09 2022 Epoch 75, lr: 0.0000706, val loss: 70.99816, acc: 77.15000
Tue Dec 13 14:24:09 2022 Epoch 65, lr: 0.0000775, val loss: 91.42346, acc: 68.59000
Tue Dec 13 14:24:27 2022 Epoch 76, lr: 0.0000699, val loss: 70.57039, acc: 77.06000
Tue Dec 13 14:24:30 2022 Epoch 66, lr: 0.0000768, val loss: 91.48801, acc: 68.65000
Tue Dec 13 14:24:46 2022 Epoch 77, lr: 0.0000691, val loss: 70.86117, acc: 77.22000
Tue Dec 13 14:24:51 2022 Epoch 67, lr: 0.0000761, val loss: 90.85397, acc: 68.85000
Tue Dec 13 14:25:04 2022 Epoch 78, lr: 0.0000684, val loss: 71.02102, acc: 77.16000
Tue Dec 13 14:25:13 2022 Epoch 68, lr: 0.0000755, val loss: 91.78057, acc: 68.92000
Tue Dec 13 14:25:23 2022 Epoch 79, lr: 0.0000677, val loss: 70.65464, acc: 77.32000
Tue Dec 13 14:25:36 2022 Epoch 69, lr: 0.0000748, val loss: 89.96146, acc: 69.09000
Tue Dec 13 14:25:43 2022 Epoch 80, lr: 0.0000669, val loss: 71.12158, acc: 77.41000
Tue Dec 13 14:25:58 2022 Epoch 70, lr: 0.0000741, val loss: 90.29411, acc: 69.01000
Tue Dec 13 14:26:02 2022 Epoch 81, lr: 0.0000662, val loss: 70.81092, acc: 77.33000
Tue Dec 13 14:26:21 2022 Epoch 71, lr: 0.0000734, val loss: 90.17008, acc: 68.98000
Tue Dec 13 14:26:21 2022 Epoch 82, lr: 0.0000655, val loss: 72.92050, acc: 76.69000
Tue Dec 13 14:26:40 2022 Epoch 83, lr: 0.0000647, val loss: 70.96683, acc: 77.59000
Tue Dec 13 14:26:43 2022 Epoch 72, lr: 0.0000727, val loss: 88.61342, acc: 70.02000
Tue Dec 13 14:26:59 2022 Epoch 84, lr: 0.0000639, val loss: 70.02964, acc: 77.98000
Tue Dec 13 14:27:05 2022 Epoch 73, lr: 0.0000720, val loss: 89.96425, acc: 69.10000
Tue Dec 13 14:27:18 2022 Epoch 85, lr: 0.0000632, val loss: 71.12126, acc: 77.75000
Tue Dec 13 14:27:27 2022 Epoch 74, lr: 0.0000713, val loss: 88.34614, acc: 69.62000
